Subj,Condition,Lesson1.Pre,Lesson1.Post,Lesson2.Pre,Lesson2.Post,DeviceOrderC,SystemOrderC,SystemDeviceC,Lesson1,Lesson2,PCLesson,VRLesson,VisualLesson,AuditoryLesson
58,2DA3DV,8.333333333,9.5,10.5,12,0,1,1,1.166666667,1.5,1.166666667,1.5,1.5,1.166666667
62,2DA3DV,4.666666667,8.25,8.5,12.5,0,1,1,3.583333333,4,3.583333333,4,4,3.583333333
66,2DA3DV,9.166666667,12,6,17,0,1,1,2.833333333,11,2.833333333,11,11,2.833333333
70,2DA3DV,3,1,6.5,6,0,1,1,-2,-0.5,-2,-0.5,-0.5,-2
74,2DA3DV,8,11.58333334,11.5,18,0,1,1,3.58333334,6.5,3.58333334,6.5,6.5,3.58333334
78,2DA3DV,7.583333333,9.416666667,10,15.25,0,1,1,1.833333334,5.25,1.833333334,5.25,5.25,1.833333334
82,2DA3DV,8.833333333,12.5,15.25,17.25,0,1,1,3.666666667,2,3.666666667,2,2,3.666666667
86,2DA3DV,6.333333333,12.66666667,10.75,15.75,0,1,1,6.333333337,5,6.333333337,5,5,6.333333337
90,2DA3DV,1.666666667,8.916666667,8.5,13,0,1,1,7.25,4.5,7.25,4.5,4.5,7.25
94,2DA3DV,7.333333333,13.16666667,13.5,18,0,1,1,5.833333337,4.5,5.833333337,4.5,4.5,5.833333337
98,2DA3DV,6.5,9.25,9.75,16,0,1,1,2.75,6.25,2.75,6.25,6.25,2.75
102,2DA3DV,4.75,9.5,5.625,6.625,0,1,1,4.75,1,4.75,1,1,4.75
106,2DA3DV,5.166666667,5.083333333,7,12.25,0,1,1,-0.083333334,5.25,-0.083333334,5.25,5.25,-0.083333334
110,2DA3DV,5,9.75,5.25,11.875,0,1,1,4.75,6.625,4.75,6.625,6.625,4.75
114,2DA3DV,12.5,15,8.5,18,0,1,1,2.5,9.5,2.5,9.5,9.5,2.5
122,2DA3DV,2.666666667,16,8.25,18,0,1,1,13.33333333,9.75,13.33333333,9.75,9.75,13.33333333
126,2DA3DV,7.166666667,9.916666669,13.5,18,0,1,1,2.750000002,4.5,2.750000002,4.5,4.5,2.750000002
3,3DV2DA,7.25,16,10.41666667,13.41666667,1,0,1,8.75,3,3,8.75,8.75,3
7,3DV2DA,7.5,5,7,7,1,0,1,-2.5,0,0,-2.5,-2.5,0
11,3DV2DA,10.25,8.5,4,6,1,0,1,-1.75,2,2,-1.75,-1.75,2
15,3DV2DA,13.5,18,9.75,13.66666667,1,0,1,4.5,3.91666667,3.91666667,4.5,4.5,3.91666667
19,3DV2DA,12,15,9.333333333,11.5,1,0,1,3,2.166666667,2.166666667,3,3,2.166666667
23,3DV2DA,7.375,7,6.333333333,12,1,0,1,-0.375,5.666666667,5.666666667,-0.375,-0.375,5.666666667
27,3DV2DA,8.25,14,7,14.5,1,0,1,5.75,7.5,7.5,5.75,5.75,7.5
31,3DV2DA,9.625,17.5,9.75,11,1,0,1,7.875,1.25,1.25,7.875,7.875,1.25
35,3DV2DA,8.25,13,8.083333333,14,1,0,1,4.75,5.916666667,5.916666667,4.75,4.75,5.916666667
43,3DV2DA,10.25,16.5,9.916666669,15.66666667,1,0,1,6.25,5.750000001,5.750000001,6.25,6.25,5.750000001
47,3DV2DA,4.25,8,4.166666667,7.75,1,0,1,3.75,3.583333333,3.583333333,3.75,3.75,3.583333333
51,3DV2DA,10.5,13.375,8.666666667,11.5,1,0,1,2.875,2.833333333,2.833333333,2.875,2.875,2.833333333
55,3DV2DA,7.5,13,6.166666667,12,1,0,1,5.5,5.833333333,5.833333333,5.5,5.5,5.833333333
59,3DV2DA,4.375,12,4.833333333,10,1,0,1,7.625,5.166666667,5.166666667,7.625,7.625,5.166666667
63,3DV2DA,3.25,10.75,4.5,6.25,1,0,1,7.5,1.75,1.75,7.5,7.5,1.75
67,3DV2DA,5.25,5.25,7.583333334,6.25,1,0,1,0,-1.333333334,-1.333333334,0,0,-1.333333334
75,3DV2DA,6.5,10,8.833333334,14,1,0,1,3.5,5.166666666,5.166666666,3.5,3.5,5.166666666
79,3DV2DA,12.75,15,8.416666667,11.75,1,0,1,2.25,3.333333333,3.333333333,2.25,2.25,3.333333333
83,3DV2DA,8.25,13.75,10.75,13,1,0,1,5.5,2.25,2.25,5.5,5.5,2.25
87,3DV2DA,8,10,4.583333334,6.75,1,0,1,2,2.166666666,2.166666666,2,2,2.166666666
91,3DV2DA,7.5,10,9.75,9.5,1,0,1,2.5,-0.25,-0.25,2.5,2.5,-0.25
95,3DV2DA,6.25,10,4.833333333,10,1,0,1,3.75,5.166666667,5.166666667,3.75,3.75,5.166666667
99,3DV2DA,10,7,8.583333333,17,1,0,1,-3,8.416666667,8.416666667,-3,-3,8.416666667
103,3DV2DA,10,18,9.75,12.75,1,0,1,8,3,3,8,8,3
107,3DV2DA,8.25,16.75,4.666666667,10.25,1,0,1,8.5,5.583333333,5.583333333,8.5,8.5,5.583333333
115,3DV2DA,13.25,16,8.333333334,15,1,0,1,2.75,6.666666666,6.666666666,2.75,2.75,6.666666666
119,3DV2DA,9,14.5,5.333333333,6.25,1,0,1,5.5,0.916666667,0.916666667,5.5,5.5,0.916666667
123,3DV2DA,12,17.5,8.5,12.5,1,0,1,5.5,4,4,5.5,5.5,4
127,3DV2DA,8.25,12,3.416666667,10.5,1,0,1,3.75,7.083333333,7.083333333,3.75,3.75,7.083333333
131,3DV2DA,4.5,18,8.5,15.41666667,1,0,1,13.5,6.91666667,6.91666667,13.5,13.5,6.91666667
4,3DA2DV,9.166666667,9.5,11.25,17.25,1,1,0,0.333333333,6,6,0.333333333,6,0.333333333
8,3DA2DV,9.5,5.666666667,8,9.5,1,1,0,-3.833333333,1.5,1.5,-3.833333333,1.5,-3.833333333
12,3DA2DV,8.083333333,6.833333333,7.5,16,1,1,0,-1.25,8.5,8.5,-1.25,8.5,-1.25
16,3DA2DV,3.083333334,5.5,7.25,10.25,1,1,0,2.416666666,3,3,2.416666666,3,2.416666666
20,3DA2DV,8.5,12.5,13,16,1,1,0,4,3,3,4,3,4
28,3DA2DV,4.833333333,13,12.5,17.5,1,1,0,8.166666667,5,5,8.166666667,5,8.166666667
32,3DA2DV,5.333333333,6,8.75,14,1,1,0,0.666666667,5.25,5.25,0.666666667,5.25,0.666666667
36,3DA2DV,8.666666667,10,8.25,15.5,1,1,0,1.333333333,7.25,7.25,1.333333333,7.25,1.333333333
40,3DA2DV,8.5,10.66666667,13.25,15,1,1,0,2.16666667,1.75,1.75,2.16666667,1.75,2.16666667
48,3DA2DV,9.25,14,14,18,1,1,0,4.75,4,4,4.75,4,4.75
52,3DA2DV,2.833333333,4.333333333,4.5,7,1,1,0,1.5,2.5,2.5,1.5,2.5,1.5
56,3DA2DV,5.5,12.25,9.5,18,1,1,0,6.75,8.5,8.5,6.75,8.5,6.75
60,3DA2DV,7.666666667,8.916666667,14,15,1,1,0,1.25,1,1,1.25,1,1.25
64,3DA2DV,1,3.5,9.25,15.25,1,1,0,2.5,6,6,2.5,6,2.5
68,3DA2DV,6.75,15,17.25,17.25,1,1,0,8.25,0,0,8.25,0,8.25
