Subj,Condition,Lesson1.Pre,Lesson1.Post,Lesson2.Pre,Lesson2.Post,DeviceOrderC,SystemOrderC,SystemDeviceC,Lesson1,Lesson2,PCLesson,VRLesson,VisualLesson,AuditoryLesson,Visual.Pre,Auditory.Pre
51,3DV2DA,10.5,11,8.25,10,1,0,1,0.5,1.75,1.75,0.5,0.5,1.75,10.5,8.25
55,3DV2DA,15,17,4.166833334,16,1,0,1,2,11.83316667,11.83316667,2,2,11.83316667,15,4.166833334
59,3DV2DA,8.375,18,3.666833334,7.918333334,1,0,1,9.625,4.2515,4.2515,9.625,9.625,4.2515,8.375,3.666833334
63,3DV2DA,13.25,16,10.08166667,15,1,0,1,2.75,4.91833333,4.91833333,2.75,2.75,4.91833333,13.25,10.08166667
4,3DA2DV,4.666833334,6.668333334,6,12.75,1,1,0,2.0015,6.75,6.75,2.0015,6.75,2.0015,6,4.666833334
8,3DA2DV,5,11.66833334,9.5,18,1,1,0,6.66833334,8.5,8.5,6.66833334,8.5,6.66833334,9.5,5
12,3DA2DV,8.5,11.75,6,14.625,1,1,0,3.25,8.625,8.625,3.25,8.625,3.25,6,8.5
16,3DA2DV,6.666833334,10.16683334,10.125,15.125,1,1,0,3.500000006,5,5,3.500000006,5,3.500000006,10.125,6.666833334
20,3DA2DV,9.5,11.66833334,12.5,17,1,1,0,2.16833334,4.5,4.5,2.16833334,4.5,2.16833334,12.5,9.5
24,3DA2DV,5.5,9.168333334,13,17,1,1,0,3.668333334,4,4,3.668333334,4,3.668333334,13,5.5
28,3DA2DV,8.25,11,7.5,18,1,1,0,2.75,10.5,10.5,2.75,10.5,2.75,7.5,8.25
32,3DA2DV,7.166833334,12.75,12.5,17,1,1,0,5.583166666,4.5,4.5,5.583166666,4.5,5.583166666,12.5,7.166833334
36,3DA2DV,8,6.75,5,17.125,1,1,0,-1.25,12.125,12.125,-1.25,12.125,-1.25,5,8
40,3DA2DV,5.668333334,14.66833334,11,17,1,1,0,9.000000006,6,6,9.000000006,6,9.000000006,11,5.668333334
44,3DA2DV,6.831666667,16,12,18,1,1,0,9.168333333,6,6,9.168333333,6,9.168333333,12,6.831666667
48,3DA2DV,5.331666667,8.831666667,8,14,1,1,0,3.5,6,6,3.5,6,3.5,8,5.331666667
52,3DA2DV,8.831666667,15.085,16,17,1,1,0,6.253333333,1,1,6.253333333,1,6.253333333,16,8.831666667
56,3DA2DV,3.5,3.25,5,7.625,1,1,0,-0.25,2.625,2.625,-0.25,2.625,-0.25,5,3.5
60,3DA2DV,5.0835,8.668333334,11.5,17,1,1,0,3.584833334,5.5,5.5,3.584833334,5.5,3.584833334,11.5,5.0835
